"""A",2
"""A.",1
"""And",1
"""Anya,",1
"""Before",1
"""Bobby,",1
"""Bravo,",1
"""But",1
"""But,",1
"""Can",1
"""Co-ee!",1
"""Co-ee,",1
"""Deeply",1
"""Defects,""",1
"""Devil",1
"""Do",1
"""Don't",3
"""Drink!",1
"""Encyclopaedic",1
"""Every",1
"""Everything's",1
"""Evstigney,",1
"""For",1
"""Furl",1
"""General""",1
"""General's""",1
"""Go;",1
"""Good",3
"""Grand",1
"""He",3
"""Hoist",2
"""How",6
"""Hurry",1
"""Husband",1
"""I",7
"""I'll",1
"""I'm",3
"""I've",2
"""If",1
"""Information",1
"""Irina,",1
"""Is",1
"""It",2
"""Its",1
"""Jump!""",1
"""Ladies,",1
"""Les",1
"""Let",1
"""Let's",1
"""Life",1
"""Little",1
"""Look,",1
"""Madam,",1
"""Maiden's",1
"""Mamma!""",1
"""Marya,""",1
"""Never",2
"""Newly-built",1
"""Oh",4
"""Oh,",3
"""On",2
"""Onegin",1
"""Oua!",1
"""Our",1
"""Plain",2
"""Project",5
"""Promenade",1
"""Right",1
"""Seven,",1
"""Stand",1
"""Tara...",1
"""Tarara-boom-deay,",1
"""Tarara-boom-deay....""",1
"""Thank",2
"""The",19
"""Then,",1
"""There",7
"""They",1
"""To",2
"""Trrr....",1
"""Two-and-twenty",1
"""We",1
"""Well,",1
"""What",2
"""What's",1
"""Why",1
"""Won't",1
"""Yes,""",2
"""Yo-ho!""",1
"""You",3
"""You're",1
"""You've",1
"""You,",1
"""]",1
"""a",3
"""and",1
"""at",1
"""bunkum""",1
"""dirty""",1
"""don't",1
"""even",1
"""good",1
"""he's",1
"""hushes""]",1
"""kochanku!""",1
"""lovelorn",1
"""luckum.""",1
"""my",1
"""precisely",1
"""she's",1
"""softer",2
"""spare",1
"""state",1
"""the",1
"""thee""",1
"""thou""",1
"""when",1
"""your",1
"#7986]",1
"$5,000)",1
"'AS-IS'",1
"'To",1
"'em",1
"(""the",1
"($1",1
"(1836-81),",1
"(1884);",1
"(1889)",1
"(1890)",1
"(1901)",1
"(20)",1
"(28)",1
"(30)",1
"(42)",1
"(60)",1
"(80)",1
"(801)",1
"(AVDOTYA",1
"(BARBARA),",1
"(Bortsov",1
"(Good-byes",1
"(Mme.",1
"(NATASHA),",1
"(Volunteer",1
"(a)",1
"(almost",1
"(almost)",1
"(and",1
"(any",1
"(available",1
"(b)",1
"(c)",1
"(does",1
"(if",1
"(or",3
"(trademark/copyright)",1
"(translated",1
"(www.gutenberg.org),",1
"***",6
"*****",2
"-",7
"1",5
"1.",1
"1.A.",1
"1.B.",1
"1.C",1
"1.C.",1
"1.D.",1
"1.E",1
"1.E.",1
"1.E.1",3
"1.E.1.",2
"1.E.2.",1
"1.E.3.",1
"1.E.4.",1
"1.E.5.",1
"1.E.6.",1
"1.E.7",2
"1.E.7.",1
"1.E.8",2
"1.E.8.",2
"1.E.9.",3
"1.F.",1
"1.F.1.",1
"1.F.2.",1
"1.F.3,",3
"1.F.3.",1
"1.F.4.",1
"1.F.5.",1
"1.F.6.",1
"1/4",1
"100",1
"125",1
"13.5",1
"130",1
"15",3
"1500",1
"1753",1
"1756]",1
"180",2
"180,",1
"1865.",1
"1885",1
"1912",1
"1912),",1
"1914;",1
"1d.",1
"2",1
"2.",1
"2.7",1
"2/3",1
"20%",1
"20,000",1
"200",4
"2001,",1
"2005",1
"2009",1
"22",1
"22,",1
"22;",1
"24",2
"240",2
"25",6
"25-rouble",1
"28",1
"2s.",1
"3",2
"3.",1
"30",1
"30,",1
"30,000",1
"300",2
"310",1
"35--a",1
"36",2
"3600",1
"4",1
"4,",1
"4.",1
"45",1
"4557",1
"5.",1
"50",1
"50,000",1
"501(c)(3)",2
"596-1887,",1
"60",1
"64-6221541.",1
"72.",1
"7986-8.txt",1
"7986-8.zip",1
"8",1
"8,",1
"809",1
"82....",1
"840....",1
"84116,",1
"85",1
"90",2
"99712.,",1
"=",7
"A",115
"ACT",8
"ACTS",2
"ACTUAL,",1
"AGREE",2
"AGREEMENT",1
"AK,",1
"ALEXANDER",1
"ALEXEY",2
"ALEXEYEVITCH",2
"ALEXEYEVNA",3
"ALEXEYEVNA'S",1
"ALEXEYEVNA,",1
"ALEXEYEVNA.",20
"ALEXEYEVNA.]",1
"ALEXEYEVNA]",3
"ALL.",1
"AND",3
"ANDREY",13
"ANDREY'S",2
"ANDREY,",1
"ANDREY.",55
"ANDREY.]",3
"ANDREYEVITCH",3
"ANDREYEVNA",13
"ANDREYEVNA'S",2
"ANDREYEVNA,",7
